panel,analysis_role,paper_class,method,operator,control_operator,n_tasks,control_success,operator_success,effect,ci_low,ci_high,confidence,bootstrap_iterations,bootstrap_seed,bootstrap_unit,natural_action_task_rate,natural_action_checkpoint_rate,n38_point_sign_changed,n38_ci_relation_changed,n38_qualitative_changed,sensitivity_n38_effect,sensitivity_n38_ci_low,sensitivity_n38_ci_high
online_natural,primary_online_natural_policy,passive,frozen_probe:recompute,good_bad_watch_feedback,none,40,0.725,0.75,0.025,-0.05,0.1,0.95,2000,12012,paired_source_task,1.0,0.16666666666666666,False,False,False,0.02631578947368421,-0.05263157894736842,0.10526315789473684
online_natural,primary_online_natural_policy,passive,frozen_quiz,lossy_compaction,none,40,0.75,0.45,-0.3,-0.45,-0.175,0.95,2000,12012,paired_source_task,0.875,0.14583333333333331,False,False,False,-0.3157894736842105,-0.47368421052631576,-0.18421052631578946
online_natural,primary_online_natural_policy,passive,frozen_quiz,public_state_reground,none,40,0.75,0.675,-0.075,-0.175,0.0,0.95,2000,12012,paired_source_task,0.925,0.15416666666666665,False,False,False,-0.07894736842105263,-0.18421052631578946,0.0
online_natural,primary_online_natural_policy,passive,frozen_quiz,good_bad_watch_feedback,none,40,0.75,0.75,0.0,-0.075,0.075,0.95,2000,12012,paired_source_task,0.8,0.13333333333333333,False,False,False,0.0,-0.07894736842105263,0.07894736842105263
online_natural,primary_online_natural_policy,passive,trace_judge,lossy_compaction,none,40,0.725,0.7,-0.025,-0.15,0.1,0.95,2000,12012,paired_source_task,0.25,0.041666666666666664,False,False,False,-0.02631578947368421,-0.15789473684210525,0.10526315789473684
online_natural,primary_online_natural_policy,passive,trace_judge,public_state_reground,none,40,0.725,0.7,-0.025,-0.125,0.075,0.95,2000,12012,paired_source_task,0.225,0.0375,False,False,False,-0.02631578947368421,-0.13157894736842105,0.07894736842105263
online_natural,primary_online_natural_policy,passive,trace_judge,good_bad_watch_feedback,none,40,0.725,0.675,-0.05,-0.15,0.05,0.95,2000,12012,paired_source_task,0.125,0.020833333333333332,False,False,False,-0.05263157894736842,-0.15789473684210525,0.05263157894736842
online_natural,primary_online_natural_policy,passive,trace_rules,lossy_compaction,none,40,0.75,0.775,0.025,-0.05,0.1,0.95,2000,12012,paired_source_task,1.0,0.16666666666666666,False,False,False,0.02631578947368421,-0.05263157894736842,0.10526315789473684
online_natural,primary_online_natural_policy,passive,trace_rules,public_state_reground,none,40,0.75,0.725,-0.025,-0.125,0.075,0.95,2000,12012,paired_source_task,1.0,0.16666666666666666,False,False,False,-0.05263157894736842,-0.15789473684210525,0.05263157894736842
online_natural,primary_online_natural_policy,passive,trace_rules,good_bad_watch_feedback,none,40,0.75,0.825,0.075,0.0,0.175,0.95,2000,12012,paired_source_task,1.0,0.16666666666666666,False,False,False,0.07894736842105263,0.0,0.18421052631578946
yoked_checkpoint1,controlled_aggressive_checkpoint1_yoked_sensitivity,baseline,turn_clock,lossy_compaction,none,40,0.725,0.7,-0.025,-0.075,0.0,0.95,2000,12012,paired_source_task,,,False,False,False,,,
yoked_checkpoint1,controlled_aggressive_checkpoint1_yoked_sensitivity,baseline,turn_clock,public_state_reground,none,40,0.725,0.775,0.05,0.0,0.125,0.95,2000,12012,paired_source_task,,,False,False,False,,,
yoked_checkpoint1,controlled_aggressive_checkpoint1_yoked_sensitivity,baseline,context_use,lossy_compaction,none,40,0.75,0.75,0.0,-0.1,0.1,0.95,2000,12012,paired_source_task,,,False,False,False,,,
yoked_checkpoint1,controlled_aggressive_checkpoint1_yoked_sensitivity,baseline,context_use,public_state_reground,none,40,0.75,0.75,0.0,-0.075,0.075,0.95,2000,12012,paired_source_task,,,False,False,False,,,
yoked_checkpoint1,controlled_aggressive_checkpoint1_yoked_sensitivity,active,active_recompute,lossy_compaction,none,40,0.725,0.825,0.1,-0.0006249999999988987,0.225,0.95,2000,12012,paired_source_task,,,False,False,False,,,
yoked_checkpoint1,controlled_aggressive_checkpoint1_yoked_sensitivity,active,active_recompute,public_state_reground,none,40,0.725,0.75,0.025,-0.1,0.15,0.95,2000,12012,paired_source_task,,,False,False,False,,,
yoked_checkpoint1,controlled_aggressive_checkpoint1_yoked_sensitivity,passive,frozen_probe:recompute,lossy_compaction,none,40,0.75,0.775,0.025,-0.075,0.15,0.95,2000,12012,paired_source_task,,,False,False,False,,,
yoked_checkpoint1,controlled_aggressive_checkpoint1_yoked_sensitivity,passive,frozen_probe:recompute,public_state_reground,none,40,0.75,0.725,-0.025,-0.125,0.05,0.95,2000,12012,paired_source_task,,,False,False,False,,,
